mention_week,conflict_country_name,conflict_continent,material_conflict_mentions
2021-07-05,United States,North America,17776
2021-07-05,United Kingdom,Europe,11101
2021-07-05,Haiti,North America,10447
2021-07-12,United States,North America,16902
2021-07-12,United Kingdom,Europe,7884
2021-07-12,South Africa,Africa,5899
2021-07-19,United States,North America,23983
2021-07-19,United Kingdom,Europe,6730
2021-07-19,Russia,Europe,4935
2021-07-26,United States,North America,16210
2021-07-26,United Kingdom,Europe,8245
2021-07-26,Russia,Europe,4937
2021-08-02,United States,North America,14521
2021-08-02,Afghanistan,Asia,10612
2021-08-02,United Kingdom,Europe,7740
2021-08-09,United States,North America,16841
2021-08-09,Afghanistan,Asia,14721
2021-08-09,United Kingdom,Europe,9604
2021-08-16,Afghanistan,Asia,25873
2021-08-16,United States,North America,15203
2021-08-16,United Kingdom,Europe,8795
2021-08-23,Afghanistan,Asia,32648
2021-08-23,United States,North America,25584
2021-08-23,United Kingdom,Europe,12926
2021-08-30,United States,North America,23488
2021-08-30,Afghanistan,Asia,18148
2021-08-30,United Kingdom,Europe,9327
2021-09-06,United States,North America,20537
2021-09-06,Afghanistan,Asia,11205
2021-09-06,United Kingdom,Europe,7775
2021-09-13,United States,North America,17485
2021-09-13,United Kingdom,Europe,8925
2021-09-13,Russia,Europe,5940
2021-09-20,United States,North America,19992
2021-09-20,United Kingdom,Europe,16187
2021-09-20,Russia,Europe,9280
2021-09-27,United Kingdom,Europe,20772
2021-09-27,United States,North America,16488
2021-09-27,Russia,Europe,5807
2021-10-04,United States,North America,22329
2021-10-04,United Kingdom,Europe,10648
2021-10-04,Russia,Europe,6815
2021-10-11,United Kingdom,Europe,17167
2021-10-11,United States,North America,15654
2021-10-11,Russia,Europe,5166
2021-10-18,United States,North America,23932
2021-10-18,United Kingdom,Europe,12217
2021-10-18,Russia,Europe,7570
2021-10-25,United States,North America,18928
2021-10-25,United Kingdom,Europe,11977
2021-10-25,Sudan,Africa,6545
2021-11-01,United States,North America,18573
2021-11-01,United Kingdom,Europe,12713
2021-11-01,Russia,Europe,5659
2021-11-08,United States,North America,17772
2021-11-08,United Kingdom,Europe,9511
2021-11-08,Russia,Europe,6586
2021-11-15,United States,North America,28431
2021-11-15,United Kingdom,Europe,10969
2021-11-15,Russia,Europe,6815
2021-11-22,United States,North America,18078
2021-11-22,United Kingdom,Europe,12148
2021-11-22,Russia,Europe,5983
2021-11-29,United States,North America,21628
2021-11-29,Russia,Europe,8057
2021-11-29,United Kingdom,Europe,7839
2021-12-06,United States,North America,21739
2021-12-06,United Kingdom,Europe,12370
2021-12-06,Russia,Europe,8132
2021-12-13,United States,North America,17209
2021-12-13,Russia,Europe,9578
2021-12-13,United Kingdom,Europe,8841
2021-12-20,United States,North America,17561
2021-12-20,Russia,Europe,7861
2021-12-20,United Kingdom,Europe,6433
2021-12-27,United States,North America,17563
2021-12-27,United Kingdom,Europe,10162
2021-12-27,Russia,Europe,7018
2022-01-03,United States,North America,19353
2022-01-03,Kazakhstan,Asia,8477
2022-01-03,United Kingdom,Europe,7909
2022-01-10,United States,North America,23400
2022-01-10,Russia,Europe,9597
2022-01-10,United Kingdom,Europe,7390
2022-01-17,United States,North America,18163
2022-01-17,Russia,Europe,12014
2022-01-17,United Kingdom,Europe,8775
2022-01-24,United States,North America,21726
2022-01-24,Russia,Europe,15382
2022-01-24,United Kingdom,Europe,13450
2022-01-31,United States,North America,15824
2022-01-31,Russia,Europe,14634
2022-01-31,United Kingdom,Europe,11547
2022-02-07,Russia,Europe,23273
2022-02-07,Ukraine,Europe,14082
2022-02-07,United States,North America,13854
2022-02-14,Russia,Europe,26931
2022-02-14,Ukraine,Europe,26068
2022-02-14,United States,North America,19132
2022-02-21,Russia,Europe,98899
2022-02-21,Ukraine,Europe,85161
2022-02-21,United States,North America,14906
2022-02-28,Russia,Europe,81051
2022-02-28,Ukraine,Europe,67552
2022-02-28,United States,North America,13364
